Model,Dataset,Metric,Fold,Value,Mean
Adaboost (Proposed),PC1,Reliability Score,5,0.8127423669732666,0.81
Adaboost (Proposed),PC2,AUC mean,1,0.5972210626336069,0.6
Adaboost (Proposed),PC2,AUC mean,2,0.602494723972105,0.6
Adaboost (Proposed),PC2,AUC mean,3,0.5935415613155807,0.6
Adaboost (Proposed),PC2,AUC mean,4,0.5999164237934067,0.6
Adaboost (Proposed),PC2,AUC mean,5,0.6068262282853005,0.6
Adaboost (Proposed),PC2,F1 mean,1,0.06056905561973694,0.06
Adaboost (Proposed),PC2,F1 mean,2,0.05882316931427921,0.06
Adaboost (Proposed),PC2,F1 mean,3,0.05918653141376518,0.06
Adaboost (Proposed),PC2,F1 mean,4,0.06006430647049643,0.06
Adaboost (Proposed),PC2,F1 mean,5,0.0613569371817222,0.06
Adaboost (Proposed),PC2,Precision mean,1,0.040330031125050896,0.04
Adaboost (Proposed),PC2,Precision mean,2,0.04030676179794443,0.04
Adaboost (Proposed),PC2,Precision mean,3,0.03972022403855972,0.04
Adaboost (Proposed),PC2,Precision mean,4,0.040308838100061535,0.04
Adaboost (Proposed),PC2,Precision mean,5,0.039334144938383366,0.04
Adaboost (Proposed),PC2,Recall mean,1,0.12015355401116407,0.12
Adaboost (Proposed),PC2,Recall mean,2,0.12115630199569682,0.12
Adaboost (Proposed),PC2,Recall mean,3,0.11876521604962131,0.12
Adaboost (Proposed),PC2,Recall mean,4,0.12104273142652748,0.12
Adaboost (Proposed),PC2,Recall mean,5,0.1188821965169903,0.12
Adaboost (Proposed),PC2,Brier mean,1,0.009964645683272436,0.01
Adaboost (Proposed),PC2,Brier mean,2,0.009936456299292127,0.01
Adaboost (Proposed),PC2,Brier mean,3,0.00995932172338499,0.01
Adaboost (Proposed),PC2,Brier mean,4,0.010101913542568874,0.01
Adaboost (Proposed),PC2,Brier mean,5,0.010037662751481578,0.01
Adaboost (Proposed),PC2,GLR mean,1,0.3288279083581299,0.33
Adaboost (Proposed),PC2,GLR mean,2,0.32191764583025023,0.33
Adaboost (Proposed),PC2,GLR mean,3,0.33403409227315217,0.33
Adaboost (Proposed),PC2,GLR mean,4,0.33360073984069016,0.33
Adaboost (Proposed),PC2,GLR mean,5,0.33161961369777737,0.33
Adaboost (Proposed),PC2,Hit@10,1,1.000416023398693,1.0
Adaboost (Proposed),PC2,Hit@10,2,1.022112086859984,1.0
Adaboost (Proposed),PC2,Hit@10,3,0.9880516828141821,1.0
Adaboost (Proposed),PC2,Hit@10,4,0.9981405049415872,1.0
Adaboost (Proposed),PC2,Hit@10,5,0.991279701985554,1.0
Adaboost (Proposed),PC2,ECE,1,0.010001227216090746,0.01
Adaboost (Proposed),PC2,ECE,2,0.00991774195937359,0.01
Adaboost (Proposed),PC2,ECE,3,0.010174593176748016,0.01
Adaboost (Proposed),PC2,ECE,4,0.009966003599561818,0.01
Adaboost (Proposed),PC2,ECE,5,0.009940434048225831,0.01
Adaboost (Proposed),PC2,Reliability Score,1,0.887164376853999,0.88
Adaboost (Proposed),PC2,Reliability Score,2,0.8756537152431677,0.88
Adaboost (Proposed),PC2,Reliability Score,3,0.8725512158213408,0.88
Adaboost (Proposed),PC2,Reliability Score,4,0.8868318695939668,0.88
Adaboost (Proposed),PC2,Reliability Score,5,0.8777988224875266,0.88
Adaboost (Proposed),PC3,AUC mean,1,0.8156064999064725,0.81
Adaboost (Proposed),PC3,AUC mean,2,0.8104274216837323,0.81
Adaboost (Proposed),PC3,AUC mean,3,0.8086636856737444,0.81
Adaboost (Proposed),PC3,AUC mean,4,0.8082762154374254,0.81
Adaboost (Proposed),PC3,AUC mean,5,0.8070261772986259,0.81
Adaboost (Proposed),PC3,F1 mean,1,0.403510634402236,0.4
Adaboost (Proposed),PC3,F1 mean,2,0.4002765442283668,0.4
Adaboost (Proposed),PC3,F1 mean,3,0.3940054033469747,0.4
Adaboost (Proposed),PC3,F1 mean,4,0.4021855452532506,0.4
Adaboost (Proposed),PC3,F1 mean,5,0.4000218727691722,0.4
Adaboost (Proposed),PC3,Precision mean,1,0.30745110886987687,0.31
Adaboost (Proposed),PC3,Precision mean,2,0.31417730543926453,0.31
Adaboost (Proposed),PC3,Precision mean,3,0.3105581780361452,0.31
Adaboost (Proposed),PC3,Precision mean,4,0.3063029139416746,0.31
Adaboost (Proposed),PC3,Precision mean,5,0.3115104937130388,0.31
Adaboost (Proposed),PC3,Recall mean,1,0.5788606230668444,0.58
Adaboost (Proposed),PC3,Recall mean,2,0.572876611237287,0.58
Adaboost (Proposed),PC3,Recall mean,3,0.5846125135969443,0.58
Adaboost (Proposed),PC3,Recall mean,4,0.5766705252775447,0.58
Adaboost (Proposed),PC3,Recall mean,5,0.5869797268213802,0.58
Adaboost (Proposed),PC3,Brier mean,1,0.10904378349117869,0.11
Adaboost (Proposed),PC3,Brier mean,2,0.11110635968846855,0.11
Adaboost (Proposed),PC3,Brier mean,3,0.1104994018277924,0.11
Adaboost (Proposed),PC3,Brier mean,4,0.11015080769972226,0.11
Adaboost (Proposed),PC3,Brier mean,5,0.10919964729283813,0.11
Adaboost (Proposed),PC3,GLR mean,1,0.23180242770664455,0.23
Adaboost (Proposed),PC3,GLR mean,2,0.23088064897752772,0.23
Adaboost (Proposed),PC3,GLR mean,3,0.22889134420306753,0.23
Adaboost (Proposed),PC3,GLR mean,4,0.23105772420745865,0.23
Adaboost (Proposed),PC3,GLR mean,5,0.22736785490530156,0.23
Adaboost (Proposed),PC3,Hit@10,1,0.988806704326874,1.0
Adaboost (Proposed),PC3,Hit@10,2,1.0006679433548642,1.0
Adaboost (Proposed),PC3,Hit@10,3,1.0023374846439241,1.0
Adaboost (Proposed),PC3,Hit@10,4,1.0059111812232844,1.0
Adaboost (Proposed),PC3,Hit@10,5,1.0022766864510524,1.0
Adaboost (Proposed),PC3,ECE,1,0.09073548230839601,0.09
Adaboost (Proposed),PC3,ECE,2,0.0884669166454868,0.09
Adaboost (Proposed),PC3,ECE,3,0.09013286528539127,0.09
Adaboost (Proposed),PC3,ECE,4,0.08982574054379239,0.09
Adaboost (Proposed),PC3,ECE,5,0.09083899521693357,0.09
Adaboost (Proposed),PC3,Reliability Score,1,0.8350248395236828,0.84
Adaboost (Proposed),PC3,Reliability Score,2,0.8366209817460365,0.84
Adaboost (Proposed),PC3,Reliability Score,3,0.8486718716592263,0.84
Adaboost (Proposed),PC3,Reliability Score,4,0.840623993529806,0.84
Adaboost (Proposed),PC3,Reliability Score,5,0.8390583135412483,0.84
Adaboost (Proposed),PC4,AUC mean,1,0.9302795463786595,0.93
Adaboost (Proposed),PC4,AUC mean,2,0.9352207756937545,0.93
Adaboost (Proposed),PC4,AUC mean,3,0.9184908249155332,0.93
Adaboost (Proposed),PC4,AUC mean,4,0.9260433432570601,0.93
Adaboost (Proposed),PC4,AUC mean,5,0.9399655097549927,0.93
Adaboost (Proposed),PC4,F1 mean,1,0.6027341124954885,0.61
Adaboost (Proposed),PC4,F1 mean,2,0.6142220499275508,0.61
Adaboost (Proposed),PC4,F1 mean,3,0.6137614568994415,0.61
Adaboost (Proposed),PC4,F1 mean,4,0.6160397289805775,0.61
Adaboost (Proposed),PC4,F1 mean,5,0.6032426516969416,0.61
Adaboost (Proposed),PC4,Precision mean,1,0.5472959199950544,0.56
Adaboost (Proposed),PC4,Precision mean,2,0.5648396154775481,0.56
Adaboost (Proposed),PC4,Precision mean,3,0.5592596713781668,0.56
Adaboost (Proposed),PC4,Precision mean,4,0.5609324792289996,0.56
Adaboost (Proposed),PC4,Precision mean,5,0.5676723139202311,0.56
Adaboost (Proposed),PC4,Recall mean,1,0.703622461007739,0.7
Adaboost (Proposed),PC4,Recall mean,2,0.6886052104346851,0.7
Adaboost (Proposed),PC4,Recall mean,3,0.7002093070099263,0.7
Adaboost (Proposed),PC4,Recall mean,4,0.7081496930687873,0.7
Adaboost (Proposed),PC4,Recall mean,5,0.6994133284788622,0.7
Adaboost (Proposed),PC4,Brier mean,1,0.07975818964887446,0.08
Adaboost (Proposed),PC4,Brier mean,2,0.079519239730498,0.08
Adaboost (Proposed),PC4,Brier mean,3,0.08117479625523998,0.08
Adaboost (Proposed),PC4,Brier mean,4,0.08099513650501197,0.08
Adaboost (Proposed),PC4,Brier mean,5,0.07855263786037556,0.08
Adaboost (Proposed),PC4,GLR mean,1,0.17222271471965983,0.17
Adaboost (Proposed),PC4,GLR mean,2,0.16769615305999927,0.17
Adaboost (Proposed),PC4,GLR mean,3,0.17243118535219829,0.17
Adaboost (Proposed),PC4,GLR mean,4,0.16678377977123598,0.17
Adaboost (Proposed),PC4,GLR mean,5,0.17086616709690655,0.17
Adaboost (Proposed),PC4,Hit@10,1,0.9948592360367986,1.0
Adaboost (Proposed),PC4,Hit@10,2,0.9989684881898213,1.0
Adaboost (Proposed),PC4,Hit@10,3,1.0093649103944389,1.0
Adaboost (Proposed),PC4,Hit@10,4,0.993126060242053,1.0
Adaboost (Proposed),PC4,Hit@10,5,1.0036813051368887,1.0
Adaboost (Proposed),PC4,ECE,1,0.04965241431834068,0.05
Adaboost (Proposed),PC4,ECE,2,0.05008989817711173,0.05
Adaboost (Proposed),PC4,ECE,3,0.05017671715731606,0.05
Adaboost (Proposed),PC4,ECE,4,0.05043033509158358,0.05
Adaboost (Proposed),PC4,ECE,5,0.049650635255648015,0.05
Adaboost (Proposed),PC4,Reliability Score,1,0.8577184811626042,0.85
Adaboost (Proposed),PC4,Reliability Score,2,0.8493699871604253,0.85
Adaboost (Proposed),PC4,Reliability Score,3,0.8476761578290951,0.85
Adaboost (Proposed),PC4,Reliability Score,4,0.8429412786646446,0.85
Adaboost (Proposed),PC4,Reliability Score,5,0.8522940951832314,0.85
CatBoost (Proposed),CM1,AUC mean,1,0.7195052680892371,0.72
CatBoost (Proposed),CM1,AUC mean,2,0.7185269374719571,0.72
CatBoost (Proposed),CM1,AUC mean,3,0.7225003431438275,0.72
CatBoost (Proposed),CM1,AUC mean,4,0.7086390382875523,0.72
CatBoost (Proposed),CM1,AUC mean,5,0.7308284130074261,0.72
CatBoost (Proposed),CM1,F1 mean,1,0.180356863877271,0.18
CatBoost (Proposed),CM1,F1 mean,2,0.18177029855715504,0.18
CatBoost (Proposed),CM1,F1 mean,3,0.18042543849117654,0.18
CatBoost (Proposed),CM1,F1 mean,4,0.1782286527465319,0.18
CatBoost (Proposed),CM1,F1 mean,5,0.17921874632786555,0.18
CatBoost (Proposed),CM1,Precision mean,1,0.22407058803722732,0.23
CatBoost (Proposed),CM1,Precision mean,2,0.23220866181862695,0.23
CatBoost (Proposed),CM1,Precision mean,3,0.23155254808615353,0.23
CatBoost (Proposed),CM1,Precision mean,4,0.23452385333914522,0.23
CatBoost (Proposed),CM1,Precision mean,5,0.2276443487188471,0.23
CatBoost (Proposed),CM1,Recall mean,1,0.19149403082958077,0.19
CatBoost (Proposed),CM1,Recall mean,2,0.19105933805543227,0.19
CatBoost (Proposed),CM1,Recall mean,3,0.18922380431616606,0.19
CatBoost (Proposed),CM1,Recall mean,4,0.1888309861616371,0.19
CatBoost (Proposed),CM1,Recall mean,5,0.18939184063718387,0.19
CatBoost (Proposed),CM1,Brier mean,1,0.15122301899080837,0.15
CatBoost (Proposed),CM1,Brier mean,2,0.1512251264719678,0.15
CatBoost (Proposed),CM1,Brier mean,3,0.14759333646238568,0.15
CatBoost (Proposed),CM1,Brier mean,4,0.14949997043414795,0.15
CatBoost (Proposed),CM1,Brier mean,5,0.15045854764069005,0.15
CatBoost (Proposed),CM1,GLR mean,1,0.16123494493602894,0.16
CatBoost (Proposed),CM1,GLR mean,2,0.15827120302534825,0.16
CatBoost (Proposed),CM1,GLR mean,3,0.15974461146226818,0.16
CatBoost (Proposed),CM1,GLR mean,4,0.1584041785549767,0.16
