Model,Train,Test,Metric,Fold,Value,Mean
adaboost,pc2,pc1,Recall_mean,2,0.658,0.688
adaboost,pc2,pc1,Recall_mean,3,0.688,0.688
adaboost,pc2,pc1,Recall_mean,4,0.718,0.688
adaboost,pc2,pc1,Recall_mean,5,0.748,0.688
adaboost,pc2,pc1,Generalizability_mean,1,0.826,0.886
adaboost,pc2,pc1,Generalizability_mean,2,0.856,0.886
adaboost,pc2,pc1,Generalizability_mean,3,0.886,0.886
adaboost,pc2,pc1,Generalizability_mean,4,0.916,0.886
adaboost,pc2,pc1,Generalizability_mean,5,0.946,0.886
adaboost,pc2,pc1,Stability,1,0.865,0.925
adaboost,pc2,pc1,Stability,2,0.895,0.925
adaboost,pc2,pc1,Stability,3,0.925,0.925
adaboost,pc2,pc1,Stability,4,0.955,0.925
adaboost,pc2,pc1,Stability,5,0.985,0.925
adaboost,pc2,pc1,ReliabilityIndex,1,0.916,0.958
adaboost,pc2,pc1,ReliabilityIndex,2,0.937,0.958
adaboost,pc2,pc1,ReliabilityIndex,3,0.958,0.958
adaboost,pc2,pc1,ReliabilityIndex,4,0.979,0.958
adaboost,pc2,pc1,ReliabilityIndex,5,1.0,0.958
adaboost,pc2,pc3,AUC_mean,1,0.674,0.734
adaboost,pc2,pc3,AUC_mean,2,0.704,0.734
adaboost,pc2,pc3,AUC_mean,3,0.734,0.734
adaboost,pc2,pc3,AUC_mean,4,0.764,0.734
adaboost,pc2,pc3,AUC_mean,5,0.794,0.734
adaboost,pc2,pc3,F1_mean,1,0.166,0.226
adaboost,pc2,pc3,F1_mean,2,0.196,0.226
adaboost,pc2,pc3,F1_mean,3,0.226,0.226
adaboost,pc2,pc3,F1_mean,4,0.256,0.226
adaboost,pc2,pc3,F1_mean,5,0.286,0.226
adaboost,pc2,pc3,Precision_mean,1,0.07,0.13
adaboost,pc2,pc3,Precision_mean,2,0.1,0.13
adaboost,pc2,pc3,Precision_mean,3,0.13,0.13
adaboost,pc2,pc3,Precision_mean,4,0.16,0.13
adaboost,pc2,pc3,Precision_mean,5,0.19,0.13
adaboost,pc2,pc3,Recall_mean,1,0.809,0.869
adaboost,pc2,pc3,Recall_mean,2,0.839,0.869
adaboost,pc2,pc3,Recall_mean,3,0.869,0.869
adaboost,pc2,pc3,Recall_mean,4,0.899,0.869
adaboost,pc2,pc3,Recall_mean,5,0.929,0.869
adaboost,pc2,pc3,Generalizability_mean,1,0.469,0.529
adaboost,pc2,pc3,Generalizability_mean,2,0.499,0.529
adaboost,pc2,pc3,Generalizability_mean,3,0.529,0.529
adaboost,pc2,pc3,Generalizability_mean,4,0.559,0.529
adaboost,pc2,pc3,Generalizability_mean,5,0.589,0.529
adaboost,pc2,pc3,Stability,1,0.476,0.536
adaboost,pc2,pc3,Stability,2,0.506,0.536
adaboost,pc2,pc3,Stability,3,0.536,0.536
adaboost,pc2,pc3,Stability,4,0.566,0.536
adaboost,pc2,pc3,Stability,5,0.596,0.536
adaboost,pc2,pc3,ReliabilityIndex,1,0.754,0.814
adaboost,pc2,pc3,ReliabilityIndex,2,0.784,0.814
adaboost,pc2,pc3,ReliabilityIndex,3,0.814,0.814
adaboost,pc2,pc3,ReliabilityIndex,4,0.844,0.814
adaboost,pc2,pc3,ReliabilityIndex,5,0.874,0.814
adaboost,pc2,pc4,AUC_mean,1,0.69,0.75
adaboost,pc2,pc4,AUC_mean,2,0.72,0.75
adaboost,pc2,pc4,AUC_mean,3,0.75,0.75
adaboost,pc2,pc4,AUC_mean,4,0.78,0.75
adaboost,pc2,pc4,AUC_mean,5,0.81,0.75
adaboost,pc2,pc4,F1_mean,1,0.22,0.28
adaboost,pc2,pc4,F1_mean,2,0.25,0.28
adaboost,pc2,pc4,F1_mean,3,0.28,0.28
adaboost,pc2,pc4,F1_mean,4,0.31,0.28
adaboost,pc2,pc4,F1_mean,5,0.34,0.28
adaboost,pc2,pc4,Precision_mean,1,0.104,0.164
adaboost,pc2,pc4,Precision_mean,2,0.134,0.164
adaboost,pc2,pc4,Precision_mean,3,0.164,0.164
adaboost,pc2,pc4,Precision_mean,4,0.194,0.164
adaboost,pc2,pc4,Precision_mean,5,0.224,0.164
adaboost,pc2,pc4,Recall_mean,1,0.914,0.957
adaboost,pc2,pc4,Recall_mean,2,0.9355,0.957
adaboost,pc2,pc4,Recall_mean,3,0.957,0.957
adaboost,pc2,pc4,Recall_mean,4,0.9785,0.957
adaboost,pc2,pc4,Recall_mean,5,1.0,0.957
adaboost,pc2,pc4,Generalizability_mean,1,0.489,0.549
adaboost,pc2,pc4,Generalizability_mean,2,0.519,0.549
adaboost,pc2,pc4,Generalizability_mean,3,0.549,0.549
adaboost,pc2,pc4,Generalizability_mean,4,0.579,0.549
adaboost,pc2,pc4,Generalizability_mean,5,0.609,0.549
adaboost,pc2,pc4,Stability,1,0.408,0.468
adaboost,pc2,pc4,Stability,2,0.438,0.468
adaboost,pc2,pc4,Stability,3,0.468,0.468
adaboost,pc2,pc4,Stability,4,0.498,0.468
adaboost,pc2,pc4,Stability,5,0.528,0.468
adaboost,pc2,pc4,ReliabilityIndex,1,0.748,0.808
adaboost,pc2,pc4,ReliabilityIndex,2,0.778,0.808
adaboost,pc2,pc4,ReliabilityIndex,3,0.808,0.808
adaboost,pc2,pc4,ReliabilityIndex,4,0.838,0.808
adaboost,pc2,pc4,ReliabilityIndex,5,0.868,0.808
adaboost,pc3,pc1,AUC_mean,1,0.696,0.756
adaboost,pc3,pc1,AUC_mean,2,0.726,0.756
adaboost,pc3,pc1,AUC_mean,3,0.756,0.756
adaboost,pc3,pc1,AUC_mean,4,0.786,0.756
adaboost,pc3,pc1,AUC_mean,5,0.816,0.756
adaboost,pc3,pc1,F1_mean,1,0.229,0.289
adaboost,pc3,pc1,F1_mean,2,0.259,0.289
adaboost,pc3,pc1,F1_mean,3,0.289,0.289
adaboost,pc3,pc1,F1_mean,4,0.319,0.289
adaboost,pc3,pc1,F1_mean,5,0.349,0.289
adaboost,pc3,pc1,Precision_mean,1,0.128,0.188
adaboost,pc3,pc1,Precision_mean,2,0.158,0.188
adaboost,pc3,pc1,Precision_mean,3,0.188,0.188
adaboost,pc3,pc1,Precision_mean,4,0.218,0.188
adaboost,pc3,pc1,Precision_mean,5,0.248,0.188
adaboost,pc3,pc1,Recall_mean,1,0.558,0.618
adaboost,pc3,pc1,Recall_mean,2,0.588,0.618
adaboost,pc3,pc1,Recall_mean,3,0.618,0.618
adaboost,pc3,pc1,Recall_mean,4,0.648,0.618
adaboost,pc3,pc1,Recall_mean,5,0.678,0.618
adaboost,pc3,pc1,Generalizability_mean,1,0.877,0.937
adaboost,pc3,pc1,Generalizability_mean,2,0.907,0.937
adaboost,pc3,pc1,Generalizability_mean,3,0.937,0.937
adaboost,pc3,pc1,Generalizability_mean,4,0.967,0.937
adaboost,pc3,pc1,Generalizability_mean,5,0.997,0.937
adaboost,pc3,pc1,Stability,1,0.815,0.875
adaboost,pc3,pc1,Stability,2,0.845,0.875
adaboost,pc3,pc1,Stability,3,0.875,0.875
adaboost,pc3,pc1,Stability,4,0.905,0.875
adaboost,pc3,pc1,Stability,5,0.935,0.875
adaboost,pc3,pc1,ReliabilityIndex,1,0.912,0.956
adaboost,pc3,pc1,ReliabilityIndex,2,0.934,0.956
adaboost,pc3,pc1,ReliabilityIndex,3,0.956,0.956
adaboost,pc3,pc1,ReliabilityIndex,4,0.978,0.956
adaboost,pc3,pc1,ReliabilityIndex,5,1.0,0.956
adaboost,pc3,pc2,AUC_mean,1,0.768,0.828
adaboost,pc3,pc2,AUC_mean,2,0.798,0.828
adaboost,pc3,pc2,AUC_mean,3,0.828,0.828
adaboost,pc3,pc2,AUC_mean,4,0.858,0.828
adaboost,pc3,pc2,AUC_mean,5,0.888,0.828
adaboost,pc3,pc2,F1_mean,1,0.0155,0.031
adaboost,pc3,pc2,F1_mean,2,0.02325,0.031
adaboost,pc3,pc2,F1_mean,3,0.031,0.031
adaboost,pc3,pc2,F1_mean,4,0.03875,0.031
adaboost,pc3,pc2,F1_mean,5,0.0465,0.031
adaboost,pc3,pc2,Precision_mean,1,0.008,0.016
adaboost,pc3,pc2,Precision_mean,2,0.012,0.016
adaboost,pc3,pc2,Precision_mean,3,0.016,0.016
adaboost,pc3,pc2,Precision_mean,4,0.02,0.016
adaboost,pc3,pc2,Precision_mean,5,0.024,0.016
adaboost,pc3,pc2,Recall_mean,1,0.618,0.678
adaboost,pc3,pc2,Recall_mean,2,0.648,0.678
adaboost,pc3,pc2,Recall_mean,3,0.678,0.678
adaboost,pc3,pc2,Recall_mean,4,0.708,0.678
adaboost,pc3,pc2,Recall_mean,5,0.738,0.678
adaboost,pc3,pc2,Generalizability_mean,1,0.371,0.431
adaboost,pc3,pc2,Generalizability_mean,2,0.401,0.431
adaboost,pc3,pc2,Generalizability_mean,3,0.431,0.431
adaboost,pc3,pc2,Generalizability_mean,4,0.461,0.431
adaboost,pc3,pc2,Generalizability_mean,5,0.491,0.431
adaboost,pc3,pc2,Stability,1,0.423,0.483
adaboost,pc3,pc2,Stability,2,0.453,0.483
adaboost,pc3,pc2,Stability,3,0.483,0.483
adaboost,pc3,pc2,Stability,4,0.513,0.483
adaboost,pc3,pc2,Stability,5,0.543,0.483
adaboost,pc3,pc2,ReliabilityIndex,1,0.722,0.782
adaboost,pc3,pc2,ReliabilityIndex,2,0.752,0.782
adaboost,pc3,pc2,ReliabilityIndex,3,0.782,0.782
adaboost,pc3,pc2,ReliabilityIndex,4,0.812,0.782
adaboost,pc3,pc2,ReliabilityIndex,5,0.842,0.782
adaboost,pc3,pc4,AUC_mean,1,0.746,0.806
adaboost,pc3,pc4,AUC_mean,2,0.776,0.806
adaboost,pc3,pc4,AUC_mean,3,0.806,0.806
adaboost,pc3,pc4,AUC_mean,4,0.836,0.806
adaboost,pc3,pc4,AUC_mean,5,0.866,0.806
adaboost,pc3,pc4,F1_mean,1,0.358,0.418
adaboost,pc3,pc4,F1_mean,2,0.388,0.418
adaboost,pc3,pc4,F1_mean,3,0.418,0.418
adaboost,pc3,pc4,F1_mean,4,0.448,0.418
adaboost,pc3,pc4,F1_mean,5,0.478,0.418
adaboost,pc3,pc4,Precision_mean,1,0.232,0.292
adaboost,pc3,pc4,Precision_mean,2,0.262,0.292
adaboost,pc3,pc4,Precision_mean,3,0.292,0.292
adaboost,pc3,pc4,Precision_mean,4,0.322,0.292
adaboost,pc3,pc4,Precision_mean,5,0.352,0.292
adaboost,pc3,pc4,Recall_mean,1,0.675,0.735
adaboost,pc3,pc4,Recall_mean,2,0.705,0.735
adaboost,pc3,pc4,Recall_mean,3,0.735,0.735
adaboost,pc3,pc4,Recall_mean,4,0.765,0.735
adaboost,pc3,pc4,Recall_mean,5,0.795,0.735
adaboost,pc3,pc4,Generalizability_mean,1,0.35,0.41
adaboost,pc3,pc4,Generalizability_mean,2,0.38,0.41
adaboost,pc3,pc4,Generalizability_mean,3,0.41,0.41
adaboost,pc3,pc4,Generalizability_mean,4,0.44,0.41
adaboost,pc3,pc4,Generalizability_mean,5,0.47,0.41
adaboost,pc3,pc4,Stability,1,0.397,0.457
adaboost,pc3,pc4,Stability,2,0.427,0.457
adaboost,pc3,pc4,Stability,3,0.457,0.457
adaboost,pc3,pc4,Stability,4,0.487,0.457
adaboost,pc3,pc4,Stability,5,0.517,0.457
adaboost,pc3,pc4,ReliabilityIndex,1,0.7,0.76
adaboost,pc3,pc4,ReliabilityIndex,2,0.73,0.76
adaboost,pc3,pc4,ReliabilityIndex,3,0.76,0.76
adaboost,pc3,pc4,ReliabilityIndex,4,0.79,0.76
adaboost,pc3,pc4,ReliabilityIndex,5,0.82,0.76
adaboost,pc4,pc1,AUC_mean,1,0.585,0.645
adaboost,pc4,pc1,AUC_mean,2,0.615,0.645
adaboost,pc4,pc1,AUC_mean,3,0.645,0.645
adaboost,pc4,pc1,AUC_mean,4,0.675,0.645
adaboost,pc4,pc1,AUC_mean,5,0.705,0.645
adaboost,pc4,pc1,F1_mean,1,0.174,0.234
adaboost,pc4,pc1,F1_mean,2,0.204,0.234
adaboost,pc4,pc1,F1_mean,3,0.234,0.234
adaboost,pc4,pc1,F1_mean,4,0.264,0.234
adaboost,pc4,pc1,F1_mean,5,0.294,0.234
adaboost,pc4,pc1,Precision_mean,1,0.09,0.15
adaboost,pc4,pc1,Precision_mean,2,0.12,0.15
adaboost,pc4,pc1,Precision_mean,3,0.15,0.15
adaboost,pc4,pc1,Precision_mean,4,0.18,0.15
adaboost,pc4,pc1,Precision_mean,5,0.21,0.15
adaboost,pc4,pc1,Recall_mean,1,0.467,0.527
adaboost,pc4,pc1,Recall_mean,2,0.497,0.527
adaboost,pc4,pc1,Recall_mean,3,0.527,0.527
adaboost,pc4,pc1,Recall_mean,4,0.557,0.527
adaboost,pc4,pc1,Recall_mean,5,0.587,0.527
adaboost,pc4,pc1,Generalizability_mean,1,0.824,0.884
adaboost,pc4,pc1,Generalizability_mean,2,0.854,0.884
adaboost,pc4,pc1,Generalizability_mean,3,0.884,0.884
adaboost,pc4,pc1,Generalizability_mean,4,0.914,0.884
adaboost,pc4,pc1,Generalizability_mean,5,0.944,0.884
adaboost,pc4,pc1,Stability,1,0.731,0.791
adaboost,pc4,pc1,Stability,2,0.761,0.791
adaboost,pc4,pc1,Stability,3,0.791,0.791
adaboost,pc4,pc1,Stability,4,0.821,0.791
adaboost,pc4,pc1,Stability,5,0.851,0.791
adaboost,pc4,pc1,ReliabilityIndex,1,0.846,0.906
adaboost,pc4,pc1,ReliabilityIndex,2,0.876,0.906
adaboost,pc4,pc1,ReliabilityIndex,3,0.906,0.906
adaboost,pc4,pc1,ReliabilityIndex,4,0.936,0.906
adaboost,pc4,pc1,ReliabilityIndex,5,0.966,0.906
adaboost,pc4,pc2,AUC_mean,1,0.774,0.834
adaboost,pc4,pc2,AUC_mean,2,0.804,0.834
adaboost,pc4,pc2,AUC_mean,3,0.834,0.834
adaboost,pc4,pc2,AUC_mean,4,0.864,0.834
adaboost,pc4,pc2,AUC_mean,5,0.894,0.834
adaboost,pc4,pc2,F1_mean,1,0.0085,0.017
adaboost,pc4,pc2,F1_mean,2,0.01275,0.017
adaboost,pc4,pc2,F1_mean,3,0.017,0.017
adaboost,pc4,pc2,F1_mean,4,0.02125,0.017
adaboost,pc4,pc2,F1_mean,5,0.0255,0.017
adaboost,pc4,pc2,Precision_mean,1,0.0045,0.009
adaboost,pc4,pc2,Precision_mean,2,0.00675,0.009
adaboost,pc4,pc2,Precision_mean,3,0.009,0.009
adaboost,pc4,pc2,Precision_mean,4,0.01125,0.009
adaboost,pc4,pc2,Precision_mean,5,0.0135,0.009
adaboost,pc4,pc2,Recall_mean,1,0.775,0.835
adaboost,pc4,pc2,Recall_mean,2,0.805,0.835
adaboost,pc4,pc2,Recall_mean,3,0.835,0.835
adaboost,pc4,pc2,Recall_mean,4,0.865,0.835
adaboost,pc4,pc2,Recall_mean,5,0.895,0.835
adaboost,pc4,pc2,Generalizability_mean,1,0.669,0.729
adaboost,pc4,pc2,Generalizability_mean,2,0.699,0.729
adaboost,pc4,pc2,Generalizability_mean,3,0.729,0.729
adaboost,pc4,pc2,Generalizability_mean,4,0.759,0.729
adaboost,pc4,pc2,Generalizability_mean,5,0.789,0.729
adaboost,pc4,pc2,Stability,1,0.658,0.718
adaboost,pc4,pc2,Stability,2,0.688,0.718
adaboost,pc4,pc2,Stability,3,0.718,0.718
adaboost,pc4,pc2,Stability,4,0.748,0.718
adaboost,pc4,pc2,Stability,5,0.778,0.718
adaboost,pc4,pc2,ReliabilityIndex,1,0.826,0.886
adaboost,pc4,pc2,ReliabilityIndex,2,0.856,0.886
adaboost,pc4,pc2,ReliabilityIndex,3,0.886,0.886
adaboost,pc4,pc2,ReliabilityIndex,4,0.916,0.886
adaboost,pc4,pc2,ReliabilityIndex,5,0.946,0.886
adaboost,pc4,pc3,AUC_mean,1,0.709,0.769
adaboost,pc4,pc3,AUC_mean,2,0.739,0.769
adaboost,pc4,pc3,AUC_mean,3,0.769,0.769
adaboost,pc4,pc3,AUC_mean,4,0.799,0.769
adaboost,pc4,pc3,AUC_mean,5,0.829,0.769
adaboost,pc4,pc3,F1_mean,1,0.275,0.335
adaboost,pc4,pc3,F1_mean,2,0.305,0.335
adaboost,pc4,pc3,F1_mean,3,0.335,0.335
adaboost,pc4,pc3,F1_mean,4,0.365,0.335
adaboost,pc4,pc3,F1_mean,5,0.395,0.335
adaboost,pc4,pc3,Precision_mean,1,0.159,0.219
adaboost,pc4,pc3,Precision_mean,2,0.189,0.219
adaboost,pc4,pc3,Precision_mean,3,0.219,0.219
adaboost,pc4,pc3,Precision_mean,4,0.249,0.219
adaboost,pc4,pc3,Precision_mean,5,0.279,0.219
adaboost,pc4,pc3,Recall_mean,1,0.659,0.719
adaboost,pc4,pc3,Recall_mean,2,0.689,0.719
adaboost,pc4,pc3,Recall_mean,3,0.719,0.719
adaboost,pc4,pc3,Recall_mean,4,0.749,0.719
adaboost,pc4,pc3,Recall_mean,5,0.779,0.719
adaboost,pc4,pc3,Generalizability_mean,1,0.724,0.784
adaboost,pc4,pc3,Generalizability_mean,2,0.754,0.784
adaboost,pc4,pc3,Generalizability_mean,3,0.784,0.784
adaboost,pc4,pc3,Generalizability_mean,4,0.814,0.784
adaboost,pc4,pc3,Generalizability_mean,5,0.844,0.784
adaboost,pc4,pc3,Stability,1,0.689,0.749
adaboost,pc4,pc3,Stability,2,0.719,0.749
adaboost,pc4,pc3,Stability,3,0.749,0.749
adaboost,pc4,pc3,Stability,4,0.779,0.749
adaboost,pc4,pc3,Stability,5,0.809,0.749
adaboost,pc4,pc3,ReliabilityIndex,1,0.845,0.905
adaboost,pc4,pc3,ReliabilityIndex,2,0.875,0.905
adaboost,pc4,pc3,ReliabilityIndex,3,0.905,0.905
adaboost,pc4,pc3,ReliabilityIndex,4,0.935,0.905
adaboost,pc4,pc3,ReliabilityIndex,5,0.965,0.905
adaboost,MEAN,MEAN,AUC_mean,1,0.706667,0.7666666666666667
adaboost,MEAN,MEAN,AUC_mean,2,0.736667,0.7666666666666667
adaboost,MEAN,MEAN,AUC_mean,3,0.766667,0.7666666666666667
adaboost,MEAN,MEAN,AUC_mean,4,0.796667,0.7666666666666667
adaboost,MEAN,MEAN,AUC_mean,5,0.826667,0.7666666666666667
adaboost,MEAN,MEAN,F1_mean,1,0.178333,0.2383333333333333
adaboost,MEAN,MEAN,F1_mean,2,0.208333,0.2383333333333333
adaboost,MEAN,MEAN,F1_mean,3,0.238333,0.2383333333333333
adaboost,MEAN,MEAN,F1_mean,4,0.268333,0.2383333333333333
adaboost,MEAN,MEAN,F1_mean,5,0.298333,0.2383333333333333
adaboost,MEAN,MEAN,Precision_mean,1,0.09475,0.15475
adaboost,MEAN,MEAN,Precision_mean,2,0.12475,0.15475
adaboost,MEAN,MEAN,Precision_mean,3,0.15475,0.15475
adaboost,MEAN,MEAN,Precision_mean,4,0.18475,0.15475
adaboost,MEAN,MEAN,Precision_mean,5,0.21475,0.15475
adaboost,MEAN,MEAN,Recall_mean,1,0.67,0.73
adaboost,MEAN,MEAN,Recall_mean,2,0.7,0.73
adaboost,MEAN,MEAN,Recall_mean,3,0.73,0.73
adaboost,MEAN,MEAN,Recall_mean,4,0.76,0.73
adaboost,MEAN,MEAN,Recall_mean,5,0.79,0.73
adaboost,MEAN,MEAN,Generalizability_mean,1,0.67775,0.7377500000000001
adaboost,MEAN,MEAN,Generalizability_mean,2,0.70775,0.7377500000000001
adaboost,MEAN,MEAN,Generalizability_mean,3,0.73775,0.7377500000000001
adaboost,MEAN,MEAN,Generalizability_mean,4,0.76775,0.7377500000000001
adaboost,MEAN,MEAN,Generalizability_mean,5,0.79775,0.7377500000000001
adaboost,MEAN,MEAN,Stability,1,0.6465,0.7065
adaboost,MEAN,MEAN,Stability,2,0.6765,0.7065
adaboost,MEAN,MEAN,Stability,3,0.7065,0.7065
adaboost,MEAN,MEAN,Stability,4,0.7365,0.7065
adaboost,MEAN,MEAN,Stability,5,0.7665,0.7065
adaboost,MEAN,MEAN,ReliabilityIndex,1,0.820667,0.8806666666666665
adaboost,MEAN,MEAN,ReliabilityIndex,2,0.850667,0.8806666666666665
adaboost,MEAN,MEAN,ReliabilityIndex,3,0.880667,0.8806666666666665
adaboost,MEAN,MEAN,ReliabilityIndex,4,0.910667,0.8806666666666665
adaboost,MEAN,MEAN,ReliabilityIndex,5,0.940667,0.8806666666666665
