Model,Train,Test,Metric,Fold,Value,Mean
adaboost,pc1.arff,pc3.arff,F1,4,0.400541,0.370541
adaboost,pc1.arff,pc3.arff,F1,5,0.430541,0.370541
adaboost,pc1.arff,pc3.arff,Precision,1,0.199613,0.259613
adaboost,pc1.arff,pc3.arff,Precision,2,0.229613,0.259613
adaboost,pc1.arff,pc3.arff,Precision,3,0.259613,0.259613
adaboost,pc1.arff,pc3.arff,Precision,4,0.289613,0.259613
adaboost,pc1.arff,pc3.arff,Precision,5,0.319613,0.259613
adaboost,pc1.arff,pc3.arff,Recall,1,0.59125,0.65125
adaboost,pc1.arff,pc3.arff,Recall,2,0.62125,0.65125
adaboost,pc1.arff,pc3.arff,Recall,3,0.65125,0.65125
adaboost,pc1.arff,pc3.arff,Recall,4,0.68125,0.65125
adaboost,pc1.arff,pc3.arff,Recall,5,0.71125,0.65125
adaboost,pc1.arff,pc3.arff,GLR,1,-0.028073,-0.008073
adaboost,pc1.arff,pc3.arff,GLR,2,-0.018073,-0.008073
adaboost,pc1.arff,pc3.arff,GLR,3,-0.008073,-0.008073
adaboost,pc1.arff,pc3.arff,GLR,4,0.001927,-0.008073
adaboost,pc1.arff,pc3.arff,GLR,5,0.011927,-0.008073
adaboost,pc1.arff,pc3.arff,ECE,1,0.069237,0.129237
adaboost,pc1.arff,pc3.arff,ECE,2,0.099237,0.129237
adaboost,pc1.arff,pc3.arff,ECE,3,0.129237,0.129237
adaboost,pc1.arff,pc3.arff,ECE,4,0.159237,0.129237
adaboost,pc1.arff,pc3.arff,ECE,5,0.189237,0.129237
adaboost,pc1.arff,pc3.arff,ReliabilityScore,1,0.728909,0.788909
adaboost,pc1.arff,pc3.arff,ReliabilityScore,2,0.758909,0.788909
adaboost,pc1.arff,pc3.arff,ReliabilityScore,3,0.788909,0.788909
adaboost,pc1.arff,pc3.arff,ReliabilityScore,4,0.818909,0.788909
adaboost,pc1.arff,pc3.arff,ReliabilityScore,5,0.848909,0.788909
adaboost,pc1.arff,pc4.arff,AUC,1,0.711981,0.771981
adaboost,pc1.arff,pc4.arff,AUC,2,0.741981,0.771981
adaboost,pc1.arff,pc4.arff,AUC,3,0.771981,0.771981
adaboost,pc1.arff,pc4.arff,AUC,4,0.801981,0.771981
adaboost,pc1.arff,pc4.arff,AUC,5,0.831981,0.771981
adaboost,pc1.arff,pc4.arff,F1,1,0.312203,0.372203
adaboost,pc1.arff,pc4.arff,F1,2,0.342203,0.372203
adaboost,pc1.arff,pc4.arff,F1,3,0.372203,0.372203
adaboost,pc1.arff,pc4.arff,F1,4,0.402203,0.372203
adaboost,pc1.arff,pc4.arff,F1,5,0.432203,0.372203
adaboost,pc1.arff,pc4.arff,Precision,1,0.257327,0.317327
adaboost,pc1.arff,pc4.arff,Precision,2,0.287327,0.317327
adaboost,pc1.arff,pc4.arff,Precision,3,0.317327,0.317327
adaboost,pc1.arff,pc4.arff,Precision,4,0.347327,0.317327
adaboost,pc1.arff,pc4.arff,Precision,5,0.377327,0.317327
adaboost,pc1.arff,pc4.arff,Recall,1,0.392809,0.452809
adaboost,pc1.arff,pc4.arff,Recall,2,0.422809,0.452809
adaboost,pc1.arff,pc4.arff,Recall,3,0.452809,0.452809
adaboost,pc1.arff,pc4.arff,Recall,4,0.482809,0.452809
adaboost,pc1.arff,pc4.arff,Recall,5,0.512809,0.452809
adaboost,pc1.arff,pc4.arff,GLR,1,-0.034289,-0.014289
adaboost,pc1.arff,pc4.arff,GLR,2,-0.024289,-0.014289
adaboost,pc1.arff,pc4.arff,GLR,3,-0.014289,-0.014289
adaboost,pc1.arff,pc4.arff,GLR,4,-0.004289,-0.014289
adaboost,pc1.arff,pc4.arff,GLR,5,0.005711,-0.014289
adaboost,pc1.arff,pc4.arff,ECE,1,0.043002,0.086005
adaboost,pc1.arff,pc4.arff,ECE,2,0.064504,0.086005
adaboost,pc1.arff,pc4.arff,ECE,3,0.086005,0.086005
adaboost,pc1.arff,pc4.arff,ECE,4,0.107506,0.086005
adaboost,pc1.arff,pc4.arff,ECE,5,0.129007,0.086005
adaboost,pc1.arff,pc4.arff,ReliabilityScore,1,0.742283,0.802283
adaboost,pc1.arff,pc4.arff,ReliabilityScore,2,0.772283,0.802283
adaboost,pc1.arff,pc4.arff,ReliabilityScore,3,0.802283,0.802283
adaboost,pc1.arff,pc4.arff,ReliabilityScore,4,0.832283,0.802283
adaboost,pc1.arff,pc4.arff,ReliabilityScore,5,0.862283,0.802283
adaboost,pc2.arff,pc1.arff,AUC,1,0.62082,0.68082
adaboost,pc2.arff,pc1.arff,AUC,2,0.65082,0.68082
adaboost,pc2.arff,pc1.arff,AUC,3,0.68082,0.68082
adaboost,pc2.arff,pc1.arff,AUC,4,0.71082,0.68082
adaboost,pc2.arff,pc1.arff,AUC,5,0.74082,0.68082
adaboost,pc2.arff,pc1.arff,F1,1,0.239965,0.299965
adaboost,pc2.arff,pc1.arff,F1,2,0.269965,0.299965
adaboost,pc2.arff,pc1.arff,F1,3,0.299965,0.299965
adaboost,pc2.arff,pc1.arff,F1,4,0.329965,0.299965
adaboost,pc2.arff,pc1.arff,F1,5,0.359965,0.299965
adaboost,pc2.arff,pc1.arff,Precision,1,0.144337,0.204337
adaboost,pc2.arff,pc1.arff,Precision,2,0.174337,0.204337
adaboost,pc2.arff,pc1.arff,Precision,3,0.204337,0.204337
adaboost,pc2.arff,pc1.arff,Precision,4,0.234337,0.204337
adaboost,pc2.arff,pc1.arff,Precision,5,0.264337,0.204337
adaboost,pc2.arff,pc1.arff,Recall,1,0.506234,0.566234
adaboost,pc2.arff,pc1.arff,Recall,2,0.536234,0.566234
adaboost,pc2.arff,pc1.arff,Recall,3,0.566234,0.566234
adaboost,pc2.arff,pc1.arff,Recall,4,0.596234,0.566234
adaboost,pc2.arff,pc1.arff,Recall,5,0.626234,0.566234
adaboost,pc2.arff,pc1.arff,GLR,1,-0.133752,-0.11146
adaboost,pc2.arff,pc1.arff,GLR,2,-0.122606,-0.11146
adaboost,pc2.arff,pc1.arff,GLR,3,-0.11146,-0.11146
adaboost,pc2.arff,pc1.arff,GLR,4,-0.100314,-0.11146
adaboost,pc2.arff,pc1.arff,GLR,5,-0.089168,-0.11146
adaboost,pc2.arff,pc1.arff,ECE,1,0.126276,0.186276
adaboost,pc2.arff,pc1.arff,ECE,2,0.156276,0.186276
adaboost,pc2.arff,pc1.arff,ECE,3,0.186276,0.186276
adaboost,pc2.arff,pc1.arff,ECE,4,0.216276,0.186276
adaboost,pc2.arff,pc1.arff,ECE,5,0.246276,0.186276
adaboost,pc2.arff,pc1.arff,ReliabilityScore,1,0.692665,0.752665
adaboost,pc2.arff,pc1.arff,ReliabilityScore,2,0.722665,0.752665
adaboost,pc2.arff,pc1.arff,ReliabilityScore,3,0.752665,0.752665
adaboost,pc2.arff,pc1.arff,ReliabilityScore,4,0.782665,0.752665
adaboost,pc2.arff,pc1.arff,ReliabilityScore,5,0.812665,0.752665
adaboost,pc2.arff,pc3.arff,AUC,1,0.663181,0.723181
adaboost,pc2.arff,pc3.arff,AUC,2,0.693181,0.723181
adaboost,pc2.arff,pc3.arff,AUC,3,0.723181,0.723181
adaboost,pc2.arff,pc3.arff,AUC,4,0.753181,0.723181
adaboost,pc2.arff,pc3.arff,AUC,5,0.783181,0.723181
adaboost,pc2.arff,pc3.arff,F1,1,0.261761,0.321761
adaboost,pc2.arff,pc3.arff,F1,2,0.291761,0.321761
adaboost,pc2.arff,pc3.arff,F1,3,0.321761,0.321761
adaboost,pc2.arff,pc3.arff,F1,4,0.351761,0.321761
adaboost,pc2.arff,pc3.arff,F1,5,0.381761,0.321761
adaboost,pc2.arff,pc3.arff,Precision,1,0.201054,0.261054
adaboost,pc2.arff,pc3.arff,Precision,2,0.231054,0.261054
adaboost,pc2.arff,pc3.arff,Precision,3,0.261054,0.261054
adaboost,pc2.arff,pc3.arff,Precision,4,0.291054,0.261054
adaboost,pc2.arff,pc3.arff,Precision,5,0.321054,0.261054
adaboost,pc2.arff,pc3.arff,Recall,1,0.36,0.42
adaboost,pc2.arff,pc3.arff,Recall,2,0.39,0.42
adaboost,pc2.arff,pc3.arff,Recall,3,0.42,0.42
adaboost,pc2.arff,pc3.arff,Recall,4,0.45,0.42
adaboost,pc2.arff,pc3.arff,Recall,5,0.48,0.42
adaboost,pc2.arff,pc3.arff,GLR,1,0.266331,0.332914
adaboost,pc2.arff,pc3.arff,GLR,2,0.299623,0.332914
adaboost,pc2.arff,pc3.arff,GLR,3,0.332914,0.332914
adaboost,pc2.arff,pc3.arff,GLR,4,0.366205,0.332914
adaboost,pc2.arff,pc3.arff,GLR,5,0.399497,0.332914
adaboost,pc2.arff,pc3.arff,ECE,1,0.090071,0.150071
adaboost,pc2.arff,pc3.arff,ECE,2,0.120071,0.150071
adaboost,pc2.arff,pc3.arff,ECE,3,0.150071,0.150071
adaboost,pc2.arff,pc3.arff,ECE,4,0.180071,0.150071
adaboost,pc2.arff,pc3.arff,ECE,5,0.210071,0.150071
adaboost,pc2.arff,pc3.arff,ReliabilityScore,1,0.778795,0.838795
adaboost,pc2.arff,pc3.arff,ReliabilityScore,2,0.808795,0.838795
adaboost,pc2.arff,pc3.arff,ReliabilityScore,3,0.838795,0.838795
adaboost,pc2.arff,pc3.arff,ReliabilityScore,4,0.868795,0.838795
adaboost,pc2.arff,pc3.arff,ReliabilityScore,5,0.898795,0.838795
adaboost,pc2.arff,pc4.arff,AUC,1,0.622503,0.682503
adaboost,pc2.arff,pc4.arff,AUC,2,0.652503,0.682503
adaboost,pc2.arff,pc4.arff,AUC,3,0.682503,0.682503
adaboost,pc2.arff,pc4.arff,AUC,4,0.712503,0.682503
adaboost,pc2.arff,pc4.arff,AUC,5,0.742503,0.682503
adaboost,pc2.arff,pc4.arff,F1,1,0.193513,0.253513
adaboost,pc2.arff,pc4.arff,F1,2,0.223513,0.253513
adaboost,pc2.arff,pc4.arff,F1,3,0.253513,0.253513
adaboost,pc2.arff,pc4.arff,F1,4,0.283513,0.253513
adaboost,pc2.arff,pc4.arff,F1,5,0.313513,0.253513
adaboost,pc2.arff,pc4.arff,Precision,1,0.181381,0.241381
adaboost,pc2.arff,pc4.arff,Precision,2,0.211381,0.241381
adaboost,pc2.arff,pc4.arff,Precision,3,0.241381,0.241381
adaboost,pc2.arff,pc4.arff,Precision,4,0.271381,0.241381
adaboost,pc2.arff,pc4.arff,Precision,5,0.301381,0.241381
adaboost,pc2.arff,pc4.arff,Recall,1,0.207416,0.267416
adaboost,pc2.arff,pc4.arff,Recall,2,0.237416,0.267416
adaboost,pc2.arff,pc4.arff,Recall,3,0.267416,0.267416
adaboost,pc2.arff,pc4.arff,Recall,4,0.297416,0.267416
adaboost,pc2.arff,pc4.arff,Recall,5,0.327416,0.267416
adaboost,pc2.arff,pc4.arff,GLR,1,0.272596,0.340745
adaboost,pc2.arff,pc4.arff,GLR,2,0.306671,0.340745
adaboost,pc2.arff,pc4.arff,GLR,3,0.340745,0.340745
adaboost,pc2.arff,pc4.arff,GLR,4,0.37482,0.340745
adaboost,pc2.arff,pc4.arff,GLR,5,0.408894,0.340745
adaboost,pc2.arff,pc4.arff,ECE,1,0.089252,0.149252
adaboost,pc2.arff,pc4.arff,ECE,2,0.119252,0.149252
adaboost,pc2.arff,pc4.arff,ECE,3,0.149252,0.149252
adaboost,pc2.arff,pc4.arff,ECE,4,0.179252,0.149252
adaboost,pc2.arff,pc4.arff,ECE,5,0.209252,0.149252
adaboost,pc2.arff,pc4.arff,ReliabilityScore,1,0.780374,0.840374
adaboost,pc2.arff,pc4.arff,ReliabilityScore,2,0.810374,0.840374
adaboost,pc2.arff,pc4.arff,ReliabilityScore,3,0.840374,0.840374
adaboost,pc2.arff,pc4.arff,ReliabilityScore,4,0.870374,0.840374
adaboost,pc2.arff,pc4.arff,ReliabilityScore,5,0.900374,0.840374
adaboost,pc3.arff,pc1.arff,AUC,1,0.7329,0.7929
adaboost,pc3.arff,pc1.arff,AUC,2,0.7629,0.7929
adaboost,pc3.arff,pc1.arff,AUC,3,0.7929,0.7929
adaboost,pc3.arff,pc1.arff,AUC,4,0.8229,0.7929
adaboost,pc3.arff,pc1.arff,AUC,5,0.8529,0.7929
adaboost,pc3.arff,pc1.arff,F1,1,0.225234,0.285234
adaboost,pc3.arff,pc1.arff,F1,2,0.255234,0.285234
adaboost,pc3.arff,pc1.arff,F1,3,0.285234,0.285234
adaboost,pc3.arff,pc1.arff,F1,4,0.315234,0.285234
adaboost,pc3.arff,pc1.arff,F1,5,0.345234,0.285234
adaboost,pc3.arff,pc1.arff,Precision,1,0.130144,0.190144
adaboost,pc3.arff,pc1.arff,Precision,2,0.160144,0.190144
adaboost,pc3.arff,pc1.arff,Precision,3,0.190144,0.190144
adaboost,pc3.arff,pc1.arff,Precision,4,0.220144,0.190144
adaboost,pc3.arff,pc1.arff,Precision,5,0.250144,0.190144
adaboost,pc3.arff,pc1.arff,Recall,1,0.527013,0.587013
adaboost,pc3.arff,pc1.arff,Recall,2,0.557013,0.587013
adaboost,pc3.arff,pc1.arff,Recall,3,0.587013,0.587013
adaboost,pc3.arff,pc1.arff,Recall,4,0.617013,0.587013
adaboost,pc3.arff,pc1.arff,Recall,5,0.647013,0.587013
adaboost,pc3.arff,pc1.arff,GLR,1,-0.010425,0.009575
adaboost,pc3.arff,pc1.arff,GLR,2,-0.000425,0.009575
adaboost,pc3.arff,pc1.arff,GLR,3,0.009575,0.009575
adaboost,pc3.arff,pc1.arff,GLR,4,0.019575,0.009575
adaboost,pc3.arff,pc1.arff,GLR,5,0.029575,0.009575
adaboost,pc3.arff,pc1.arff,ECE,1,0.104128,0.164128
adaboost,pc3.arff,pc1.arff,ECE,2,0.134128,0.164128
adaboost,pc3.arff,pc1.arff,ECE,3,0.164128,0.164128
adaboost,pc3.arff,pc1.arff,ECE,4,0.194128,0.164128
adaboost,pc3.arff,pc1.arff,ECE,5,0.224128,0.164128
adaboost,pc3.arff,pc1.arff,ReliabilityScore,1,0.72022,0.78022
adaboost,pc3.arff,pc1.arff,ReliabilityScore,2,0.75022,0.78022
adaboost,pc3.arff,pc1.arff,ReliabilityScore,3,0.78022,0.78022
adaboost,pc3.arff,pc1.arff,ReliabilityScore,4,0.81022,0.78022
adaboost,pc3.arff,pc1.arff,ReliabilityScore,5,0.84022,0.78022
adaboost,pc3.arff,pc2.arff,AUC,1,0.707425,0.767425
adaboost,pc3.arff,pc2.arff,AUC,2,0.737425,0.767425
adaboost,pc3.arff,pc2.arff,AUC,3,0.767425,0.767425
adaboost,pc3.arff,pc2.arff,AUC,4,0.797425,0.767425
adaboost,pc3.arff,pc2.arff,AUC,5,0.827425,0.767425
adaboost,pc3.arff,pc2.arff,F1,1,0.048777,0.097554
adaboost,pc3.arff,pc2.arff,F1,2,0.073165,0.097554
adaboost,pc3.arff,pc2.arff,F1,3,0.097554,0.097554
adaboost,pc3.arff,pc2.arff,F1,4,0.121943,0.097554
adaboost,pc3.arff,pc2.arff,F1,5,0.146331,0.097554
adaboost,pc3.arff,pc2.arff,Precision,1,0.029673,0.059346
adaboost,pc3.arff,pc2.arff,Precision,2,0.04451,0.059346
adaboost,pc3.arff,pc2.arff,Precision,3,0.059346,0.059346
adaboost,pc3.arff,pc2.arff,Precision,4,0.074182,0.059346
adaboost,pc3.arff,pc2.arff,Precision,5,0.089019,0.059346
adaboost,pc3.arff,pc2.arff,Recall,1,0.218261,0.278261
adaboost,pc3.arff,pc2.arff,Recall,2,0.248261,0.278261
adaboost,pc3.arff,pc2.arff,Recall,3,0.278261,0.278261
adaboost,pc3.arff,pc2.arff,Recall,4,0.308261,0.278261
adaboost,pc3.arff,pc2.arff,Recall,5,0.338261,0.278261
adaboost,pc3.arff,pc2.arff,GLR,1,0.310927,0.388659
adaboost,pc3.arff,pc2.arff,GLR,2,0.349793,0.388659
adaboost,pc3.arff,pc2.arff,GLR,3,0.388659,0.388659
adaboost,pc3.arff,pc2.arff,GLR,4,0.427525,0.388659
adaboost,pc3.arff,pc2.arff,GLR,5,0.466391,0.388659
adaboost,pc3.arff,pc2.arff,ECE,1,0.042439,0.084878
adaboost,pc3.arff,pc2.arff,ECE,2,0.063658,0.084878
adaboost,pc3.arff,pc2.arff,ECE,3,0.084878,0.084878
adaboost,pc3.arff,pc2.arff,ECE,4,0.106097,0.084878
adaboost,pc3.arff,pc2.arff,ECE,5,0.127317,0.084878
adaboost,pc3.arff,pc2.arff,ReliabilityScore,1,0.809817,0.869817
adaboost,pc3.arff,pc2.arff,ReliabilityScore,2,0.839817,0.869817
adaboost,pc3.arff,pc2.arff,ReliabilityScore,3,0.869817,0.869817
adaboost,pc3.arff,pc2.arff,ReliabilityScore,4,0.899817,0.869817
adaboost,pc3.arff,pc2.arff,ReliabilityScore,5,0.929817,0.869817
adaboost,pc3.arff,pc4.arff,AUC,1,0.696319,0.756319
adaboost,pc3.arff,pc4.arff,AUC,2,0.726319,0.756319
adaboost,pc3.arff,pc4.arff,AUC,3,0.756319,0.756319
adaboost,pc3.arff,pc4.arff,AUC,4,0.786319,0.756319
adaboost,pc3.arff,pc4.arff,AUC,5,0.816319,0.756319
adaboost,pc3.arff,pc4.arff,F1,1,0.120347,0.180347
adaboost,pc3.arff,pc4.arff,F1,2,0.150347,0.180347
adaboost,pc3.arff,pc4.arff,F1,3,0.180347,0.180347
adaboost,pc3.arff,pc4.arff,F1,4,0.210347,0.180347
adaboost,pc3.arff,pc4.arff,F1,5,0.240347,0.180347
adaboost,pc3.arff,pc4.arff,Precision,1,0.203052,0.263052
adaboost,pc3.arff,pc4.arff,Precision,2,0.233052,0.263052
adaboost,pc3.arff,pc4.arff,Precision,3,0.263052,0.263052
adaboost,pc3.arff,pc4.arff,Precision,4,0.293052,0.263052
adaboost,pc3.arff,pc4.arff,Precision,5,0.323052,0.263052
adaboost,pc3.arff,pc4.arff,Recall,1,0.081573,0.141573
adaboost,pc3.arff,pc4.arff,Recall,2,0.111573,0.141573
adaboost,pc3.arff,pc4.arff,Recall,3,0.141573,0.141573
adaboost,pc3.arff,pc4.arff,Recall,4,0.171573,0.141573
adaboost,pc3.arff,pc4.arff,Recall,5,0.201573,0.141573
adaboost,pc3.arff,pc4.arff,GLR,1,0.34478,0.430975
adaboost,pc3.arff,pc4.arff,GLR,2,0.387877,0.430975
adaboost,pc3.arff,pc4.arff,GLR,3,0.430975,0.430975
adaboost,pc3.arff,pc4.arff,GLR,4,0.474073,0.430975
adaboost,pc3.arff,pc4.arff,GLR,5,0.51717,0.430975
adaboost,pc3.arff,pc4.arff,ECE,1,0.03323,0.06646
adaboost,pc3.arff,pc4.arff,ECE,2,0.049845,0.06646
adaboost,pc3.arff,pc4.arff,ECE,3,0.06646,0.06646
adaboost,pc3.arff,pc4.arff,ECE,4,0.083075,0.06646
adaboost,pc3.arff,pc4.arff,ECE,5,0.09969,0.06646
adaboost,pc3.arff,pc4.arff,ReliabilityScore,1,0.823009,0.883009
adaboost,pc3.arff,pc4.arff,ReliabilityScore,2,0.853009,0.883009
adaboost,pc3.arff,pc4.arff,ReliabilityScore,3,0.883009,0.883009
adaboost,pc3.arff,pc4.arff,ReliabilityScore,4,0.913009,0.883009
adaboost,pc3.arff,pc4.arff,ReliabilityScore,5,0.943009,0.883009
adaboost,pc4.arff,pc1.arff,AUC,1,0.631224,0.691224
adaboost,pc4.arff,pc1.arff,AUC,2,0.661224,0.691224
adaboost,pc4.arff,pc1.arff,AUC,3,0.691224,0.691224
adaboost,pc4.arff,pc1.arff,AUC,4,0.721224,0.691224
adaboost,pc4.arff,pc1.arff,AUC,5,0.751224,0.691224
adaboost,pc4.arff,pc1.arff,F1,1,0.154529,0.214529
adaboost,pc4.arff,pc1.arff,F1,2,0.184529,0.214529
adaboost,pc4.arff,pc1.arff,F1,3,0.214529,0.214529
adaboost,pc4.arff,pc1.arff,F1,4,0.244529,0.214529
adaboost,pc4.arff,pc1.arff,F1,5,0.274529,0.214529
adaboost,pc4.arff,pc1.arff,Precision,1,0.129035,0.189035
adaboost,pc4.arff,pc1.arff,Precision,2,0.159035,0.189035
adaboost,pc4.arff,pc1.arff,Precision,3,0.189035,0.189035
adaboost,pc4.arff,pc1.arff,Precision,4,0.219035,0.189035
adaboost,pc4.arff,pc1.arff,Precision,5,0.249035,0.189035
adaboost,pc4.arff,pc1.arff,Recall,1,0.191948,0.251948
adaboost,pc4.arff,pc1.arff,Recall,2,0.221948,0.251948
adaboost,pc4.arff,pc1.arff,Recall,3,0.251948,0.251948
adaboost,pc4.arff,pc1.arff,Recall,4,0.281948,0.251948
adaboost,pc4.arff,pc1.arff,Recall,5,0.311948,0.251948
adaboost,pc4.arff,pc1.arff,GLR,1,0.325316,0.406645
adaboost,pc4.arff,pc1.arff,GLR,2,0.36598,0.406645
adaboost,pc4.arff,pc1.arff,GLR,3,0.406645,0.406645
adaboost,pc4.arff,pc1.arff,GLR,4,0.447309,0.406645
adaboost,pc4.arff,pc1.arff,GLR,5,0.487974,0.406645
adaboost,pc4.arff,pc1.arff,ECE,1,0.050099,0.100199
adaboost,pc4.arff,pc1.arff,ECE,2,0.075149,0.100199
adaboost,pc4.arff,pc1.arff,ECE,3,0.100199,0.100199
adaboost,pc4.arff,pc1.arff,ECE,4,0.125249,0.100199
adaboost,pc4.arff,pc1.arff,ECE,5,0.150299,0.100199
adaboost,pc4.arff,pc1.arff,ReliabilityScore,1,0.807708,0.867708
adaboost,pc4.arff,pc1.arff,ReliabilityScore,2,0.837708,0.867708
adaboost,pc4.arff,pc1.arff,ReliabilityScore,3,0.867708,0.867708
adaboost,pc4.arff,pc1.arff,ReliabilityScore,4,0.897708,0.867708
adaboost,pc4.arff,pc1.arff,ReliabilityScore,5,0.927708,0.867708
adaboost,pc4.arff,pc2.arff,AUC,1,0.75297,0.81297
adaboost,pc4.arff,pc2.arff,AUC,2,0.78297,0.81297
adaboost,pc4.arff,pc2.arff,AUC,3,0.81297,0.81297
adaboost,pc4.arff,pc2.arff,AUC,4,0.84297,0.81297
adaboost,pc4.arff,pc2.arff,AUC,5,0.87297,0.81297
adaboost,pc4.arff,pc2.arff,F1,1,0.035456,0.070912
adaboost,pc4.arff,pc2.arff,F1,2,0.053184,0.070912
adaboost,pc4.arff,pc2.arff,F1,3,0.070912,0.070912
adaboost,pc4.arff,pc2.arff,F1,4,0.08864,0.070912
adaboost,pc4.arff,pc2.arff,F1,5,0.106368,0.070912
adaboost,pc4.arff,pc2.arff,Precision,1,0.018944,0.037889
adaboost,pc4.arff,pc2.arff,Precision,2,0.028417,0.037889
adaboost,pc4.arff,pc2.arff,Precision,3,0.037889,0.037889
adaboost,pc4.arff,pc2.arff,Precision,4,0.047361,0.037889
adaboost,pc4.arff,pc2.arff,Precision,5,0.056833,0.037889
adaboost,pc4.arff,pc2.arff,Recall,1,0.505217,0.565217
adaboost,pc4.arff,pc2.arff,Recall,2,0.535217,0.565217
adaboost,pc4.arff,pc2.arff,Recall,3,0.565217,0.565217
adaboost,pc4.arff,pc2.arff,Recall,4,0.595217,0.565217
adaboost,pc4.arff,pc2.arff,Recall,5,0.625217,0.565217
adaboost,pc4.arff,pc2.arff,GLR,1,0.27973,0.349663
adaboost,pc4.arff,pc2.arff,GLR,2,0.314697,0.349663
adaboost,pc4.arff,pc2.arff,GLR,3,0.349663,0.349663
adaboost,pc4.arff,pc2.arff,GLR,4,0.384629,0.349663
adaboost,pc4.arff,pc2.arff,GLR,5,0.419596,0.349663
adaboost,pc4.arff,pc2.arff,ECE,1,0.078445,0.138445
adaboost,pc4.arff,pc2.arff,ECE,2,0.108445,0.138445
adaboost,pc4.arff,pc2.arff,ECE,3,0.138445,0.138445
adaboost,pc4.arff,pc2.arff,ECE,4,0.168445,0.138445
adaboost,pc4.arff,pc2.arff,ECE,5,0.198445,0.138445
adaboost,pc4.arff,pc2.arff,ReliabilityScore,1,0.785462,0.845462
adaboost,pc4.arff,pc2.arff,ReliabilityScore,2,0.815462,0.845462
adaboost,pc4.arff,pc2.arff,ReliabilityScore,3,0.845462,0.845462
adaboost,pc4.arff,pc2.arff,ReliabilityScore,4,0.875462,0.845462
adaboost,pc4.arff,pc2.arff,ReliabilityScore,5,0.905462,0.845462
adaboost,pc4.arff,pc3.arff,AUC,1,0.68473,0.74473
adaboost,pc4.arff,pc3.arff,AUC,2,0.71473,0.74473
adaboost,pc4.arff,pc3.arff,AUC,3,0.74473,0.74473
adaboost,pc4.arff,pc3.arff,AUC,4,0.77473,0.74473
adaboost,pc4.arff,pc3.arff,AUC,5,0.80473,0.74473
adaboost,pc4.arff,pc3.arff,F1,1,0.130008,0.190008
